ParticipantID,Order,textureID,IsTraining,Stage,IsPadMoved,MoveX,MoveY,IsPadScaled,ScaleX,ScaleY
-01,1,1,Init,FALSE,TRUE,-0.133548557758331,-0.775000095367432,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.134962350130081,-0.694062232971191,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.146377142518759,-0.622299671173096,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.158925946801901,-0.565805435180664,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.174270644783974,-0.515846967697144,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.197698019444942,-0.469549179077148,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.189630500972271,-0.421360731124878,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.205439977347851,-0.389407873153687,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.209600776433945,-0.349237442016602,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.203314632177353,-0.317712783813477,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.20444056391716,-0.284703254699707,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.212018892168999,-0.259413003921509,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.211621031165123,-0.232407331466675,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.214146971702576,-0.21163010597229,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.201832577586174,-0.192711353302002,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.207715809345245,-0.175467967987061,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.207672923803329,-0.157240390777588,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.208616584539413,-0.142743110656738,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.211665391921997,-0.1304931640625,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.213149398565292,-0.118724346160889,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.21783584356308,-0.0983418226242065,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.215453237295151,-0.0707633495330811,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.193983525037766,-0.0150097608566284,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.197829127311707,0.00792169570922852,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.194711357355118,0.026099681854248,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.196770876646042,0.0462449789047241,FALSE,0,0
-01,1,1,Init,FALSE,TRUE,-0.192156702280045,0.0610218048095703,FALSE,0,0
