ParticipantID,Puzzle,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,Xscale,Yscale,Zscale
-01,1,2.390538,1.269021,4.892441,0,0,0.5735765,0.2772,0.2772,0.01

-01,2,2.377157,1.399187,4.892775,0,0,0.7660444,0.4158,0.4158,0.01

-01,3,2.268443,2.148249,4.893096,0,0,0.4617486,0.6468002,0.6468002,0.01

-01,4,2.046428,1.438723,4.893996,0,0,0.6087614,0.3234,0.3234,0.01

-01,5,2.461052,2.359156,4.894193,0,0,0.8870108,0.4158,0.4158,0.01

-01,6,2.414407,1.985599,4.894461,0,0,0.5,0.6006,0.6006,0.01

-01,7,2.636433,2.015741,4.895028,0,0,0.9537169,0.6467999,0.6467999,0.01

-01,8,2.315604,1.385507,4.895136,0,0,0.4617486,0.3696001,0.3696001,0.01

-01,9,1.757171,2.498628,4.895413,0,0,0,0.462,0.462,0.01

-01,10,2.358002,2.621546,4.895638,0,0,0.9063078,0.3696001,0.3696001,0.01

-01,11,1.778726,2.588686,4.895823,0,0,0.9914449,0.6006002,0.6006002,0.01

-01,12,2.832284,2.273857,4.895924,0,0,0.6087614,0.4157999,0.4157999,0.01

-01,13,2.402354,1.68273,4.897453,0,0,0.2164396,0.3234,0.3234,0.01

-01,14,2.293098,1.526131,4.897626,0,0,0.9063078,0.5082001,0.5082001,0.01

-01,15,1.859685,2.442341,4.897857,0,0,0.3826835,0.5544,0.5544,0.01

-01,16,2.377152,1.880166,4.897998,0,0,0.8870109,0.5082001,0.5082001,0.01

