ParticipantID,IsTraining,ExperimentOrder,TextureID,Stage,IsTablet,IsController,IsMouse,StartTime,EndTime,Duration,MatchingPuzzleTime,PuzzleName,Action,DistanceMoved,ScaledLevel,RotatedAngle
-01,False,1,1,MATCHING,True,False,False,24.51358,24.53885,0.02526283,1,Puzzle Piece 14,MOVE,0.07202826,0,0
-01,False,1,1,MATCHING,True,False,False,24.53885,24.55102,0.01217079,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.55102,24.56474,0.01372147,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.56474,24.57689,0.01215553,1,Puzzle Piece 14,MOVE,0.07660858,0,0
-01,False,1,1,MATCHING,True,False,False,24.57689,24.58867,0.01177788,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.58867,24.62594,0.03726578,1,Puzzle Piece 14,MOVE,0.09008826,0,0
-01,False,1,1,MATCHING,True,False,False,24.62594,24.63847,0.01252937,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.63847,24.65088,0.01240921,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.65088,24.6702,0.01932335,1,Puzzle Piece 14,MOVE,0.06252538,0,0
-01,False,1,1,MATCHING,True,False,False,24.6702,24.67603,0.005828857,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.67603,24.71481,0.03878212,1,Puzzle Piece 14,MOVE,0.07631163,0,0
-01,False,1,1,MATCHING,True,False,False,24.71481,24.72671,0.01189995,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.72671,24.73892,0.01220894,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.73892,24.76531,0.02639008,1,Puzzle Piece 14,MOVE,0.06159649,0,0
-01,False,1,1,MATCHING,True,False,False,24.76531,24.77641,0.01110268,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.77641,24.7886,0.01218987,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.7886,24.80119,0.01259041,1,Puzzle Piece 14,MOVE,0.04001647,0,0
-01,False,1,1,MATCHING,True,False,False,24.80119,24.85122,0.05002785,1,Puzzle Piece 14,MOVE,0.01426795,0,0
-01,False,1,1,MATCHING,True,False,False,24.85122,24.86354,0.01232529,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.86354,24.88837,0.02482414,1,Puzzle Piece 14,MOVE,0.0689863,0,0
-01,False,1,1,MATCHING,True,False,False,24.88837,24.90075,0.01237869,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.90075,24.91339,0.01264381,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.91339,24.93841,0.02501678,1,Puzzle Piece 14,MOVE,0.142704,0,0
-01,False,1,1,MATCHING,True,False,False,24.93841,24.9509,0.01248741,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.9509,24.97771,0.02680969,1,Puzzle Piece 14,MOVE,0.1522477,0,0
-01,False,1,1,MATCHING,True,False,False,24.97771,24.98853,0.0108223,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,24.98853,25.00089,0.01236343,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.00089,25.02587,0.02498245,1,Puzzle Piece 14,MOVE,0.1893017,0,0
-01,False,1,1,MATCHING,True,False,False,25.02587,25.0382,0.01233101,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.0382,25.05076,0.01255989,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.05076,25.07594,0.02517319,1,Puzzle Piece 14,MOVE,0.1515909,0,0
-01,False,1,1,MATCHING,True,False,False,25.07594,25.11339,0.03744888,1,Puzzle Piece 14,MOVE,0.05915182,0,0
-01,False,1,1,MATCHING,True,False,False,25.11339,25.12584,0.01245689,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.12584,25.16378,0.03793907,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.16378,25.17695,0.01317024,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.17695,25.18842,0.01146317,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.18842,25.20111,0.01269531,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.20111,25.21329,0.01217842,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.21329,25.22587,0.01257896,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.22587,25.25098,0.02511024,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.25098,25.26338,0.01240349,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.26338,25.30084,0.03745461,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.30084,25.31346,0.01262283,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.31346,25.32604,0.01258469,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.32604,25.33844,0.01239777,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.33844,25.35086,0.01242065,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.35086,25.3634,0.01253891,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.3634,25.42582,0.06241608,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.42582,25.46338,0.03756332,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.46338,25.47613,0.01275253,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.47613,25.51349,0.03736115,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.51349,25.52598,0.01248741,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.52598,25.53827,0.01228523,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.53827,25.55101,0.0127449,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.55101,25.56336,0.01234818,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.56336,25.60253,0.0391674,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.60253,25.61322,0.01069641,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.61322,25.62615,0.0129261,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.62615,25.63833,0.01217842,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.63833,25.6509,0.01256752,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.6509,25.6884,0.0375042,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.6884,25.70085,0.01244926,1,Puzzle Piece 14,MOVE,0,0,0
-01,False,1,1,MATCHING,True,False,False,25.70085,25.73884,0.03798866,1,Puzzle Piece 14,MOVE,0,0,0
